month,worker_id,market,revenue,revenue_minus_direct_costs
2021-01-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,other,0,0
2021-01-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,sf-bay-area,250,0
2021-02-01,fq2P7dtIfEytINxlBgEww0/I26s=,sf-bay-area,750,0
2021-02-01,lLyFgmbQMRthsn0n1pqo53zytsk=,sf-bay-area,500,0
2021-02-01,cpLOvO77S36kwnJi7RxW5901iXU=,sf-bay-area,250,0
2021-02-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,sf-bay-area,1250,0
2021-02-01,X10QQ7pkZ9ICaUcdAp7eyJm1vF8=,other,0,0
2021-02-01,X10QQ7pkZ9ICaUcdAp7eyJm1vF8=,sf-bay-area,2000,0
2021-02-01,NOwlYePCkDNI3ElO70+70wowL9g=,sf-bay-area,500,0
2021-02-01,2HmyOemaoIvMDePXy2Yj9K1Fbrw=,sf-bay-area,187.5,37.5
2021-03-01,fq2P7dtIfEytINxlBgEww0/I26s=,sf-bay-area,750,0
2021-03-01,cpLOvO77S36kwnJi7RxW5901iXU=,sf-bay-area,500,0
2021-03-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,sf-bay-area,250,0
2021-03-01,X10QQ7pkZ9ICaUcdAp7eyJm1vF8=,sf-bay-area,1500,0
2021-03-01,wKd4gfaZF8EDf0qsDnCixk8B/Ys=,sf-bay-area,621,49.2
2021-03-01,2HmyOemaoIvMDePXy2Yj9K1Fbrw=,sf-bay-area,187.5,37.5
2021-03-01,TyH/ltCeBHsUmWeBMdqhrMROTWM=,sf-bay-area,180,0
2021-04-01,fq2P7dtIfEytINxlBgEww0/I26s=,sf-bay-area,250,0
2021-04-01,cpLOvO77S36kwnJi7RxW5901iXU=,sf-bay-area,250,0
2021-04-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,sf-bay-area,375,0
2021-04-01,X10QQ7pkZ9ICaUcdAp7eyJm1vF8=,sf-bay-area,2875,75
2021-04-01,uAE24X01M3Q39BNBGYQZBGtLS74=,kansas-city,735.32,110.298
2021-04-01,7PL0PNUSCgc18FDblR8MuXwXmD0=,kansas-city,661.77,99.2655
2021-04-01,YJiVZ1wEV+FRXgDsWf6OxrhAieY=,sf-bay-area,500,0
2021-04-01,C8oZpIGJ2QaAVkde2PW9mDwAofM=,kansas-city,882.36,132.354
2021-04-01,wKd4gfaZF8EDf0qsDnCixk8B/Ys=,sf-bay-area,1103.75,52
2021-04-01,DgRHoSgSurZmzdidgzcAeaGwlbw=,kansas-city,294.12,22.059
2021-04-01,2HmyOemaoIvMDePXy2Yj9K1Fbrw=,sf-bay-area,2440,488
2021-04-01,37YA1x6M7JQuPeewWgAf/eXHo0E=,sf-bay-area,2500,0
2021-04-01,SI8y2jAwfIgAyq6CymrcggVDssY=,sf-bay-area,460,92
2021-04-01,CjfKNa8ObRoQ91QyLSd+YSF/9ok=,kansas-city,405,60.75
